R0_true,sigma_true,n_seeds,R0_mean,R0_bias,R0_sd,sigma_mean,sigma_bias,sigma_sd,source_file
1.4,0.7,20,1.3587939698492462,-0.04120603015075375,0.17046020800566236,0.6749748743718594,-0.02502512562814052,0.16491066679755592,peak_estimates_sigma0p7_R01p4.csv
1.6,0.7,20,1.60678391959799,0.0067839195979899625,0.14615097172576252,0.7147738693467338,0.014773869346733859,0.11434323234542243,peak_estimates_sigma0p7_R01p6.csv
1.8,0.7,20,1.8012562814070354,0.0012562814070353756,0.2618119895199743,0.7525628140703517,0.05256281407035179,0.11475164343882632,peak_estimates_sigma0p7_R01p8.csv
2.0,0.7,20,1.994974874371859,-0.005025125628141058,0.36666928649030095,0.6691457286432161,-0.03085427135678387,0.16614305121760248,peak_estimates_sigma0p7_R02p0.csv
2.2,0.7,20,2.2022613065326633,0.0022613065326630988,0.3682277442856081,0.6910552763819096,-0.0089447236180904,0.11228495573082668,peak_estimates_sigma0p7_R02p2.csv
2.4,0.7,20,2.5444723618090452,0.14447236180904532,0.46112641753433675,0.7204020100502514,0.02040201005025144,0.08762552410224567,peak_estimates_sigma0p7_R02p4.csv
2.6,0.7,20,2.5603015075376883,-0.03969849246231183,0.46976190304169496,0.6806030150753769,-0.01939698492462305,0.1019476111865498,peak_estimates_sigma0p7_R02p6.csv
2.8,0.7,20,2.650753768844221,-0.14924623115577873,0.5401398020476746,0.6623115577889448,-0.03768844221105516,0.10539783707381763,peak_estimates_sigma0p7_R02p8.csv
3.0,0.7,20,2.818844221105527,-0.18115577889447287,0.5026248882659667,0.6542713567839196,-0.04572864321608039,0.0901001108802636,peak_estimates_sigma0p7_R03p0.csv
1.2,0.8,20,1.1469849246231154,-0.053015075376884546,0.09532937203814335,0.7475376884422112,-0.0524623115577888,0.10157251096312277,peak_estimates_sigma0p8_R01p2.csv
1.4,0.8,20,1.3979899497487436,-0.0020100502512563345,0.13654838764829771,0.7666331658291459,-0.033366834170854176,0.10418414059263638,peak_estimates_sigma0p8_R01p4.csv
1.6,0.8,20,1.5856783919597988,-0.014321608040201328,0.1942495786962246,0.7833165829145728,-0.0166834170854272,0.15238974788484547,peak_estimates_sigma0p8_R01p6.csv
1.8,0.8,20,1.7741206030150753,-0.025879396984924696,0.2750900296882082,0.7831155778894472,-0.016884422110552855,0.10046844172557202,peak_estimates_sigma0p8_R01p8.csv
2.0,0.8,20,2.032663316582915,0.03266331658291488,0.37475196769559693,0.8088442211055276,0.008844221105527517,0.09974621546810344,peak_estimates_sigma0p8_R02p0.csv
2.2,0.8,20,2.3643216080402008,0.16432160804020057,0.43702173863231714,0.8198994974874372,0.019899497487437134,0.09821766716948058,peak_estimates_sigma0p8_R02p2.csv
2.4,0.8,20,2.572361809045226,0.1723618090452259,0.3181883951690461,0.8176884422110554,0.017688442211055366,0.0626505356000628,peak_estimates_sigma0p8_R02p4.csv
2.6,0.8,20,2.7984924623115575,0.19849246231155737,0.5394439994596045,0.8259296482412062,0.025929648241206138,0.0693621408088382,peak_estimates_sigma0p8_R02p6.csv
2.8,0.8,20,2.7683417085427133,-0.03165829145728649,0.5293718448918526,0.7774874371859297,-0.022512562814070325,0.08901046078232021,peak_estimates_sigma0p8_R02p8.csv
3.0,0.8,20,3.016331658291457,0.016331658291456996,0.44677644724577126,0.8086432160804021,0.008643216080402083,0.04085997859257773,peak_estimates_sigma0p8_R03p0.csv
