8.000000000000000000e+00,1.145217391304347814e+02,5.859636163481435744e+01,7.913043478260869179e+00,4.400000000000000000e+01,-3.001359125388452509e-01,7.651148115378590298e+00,2.275000000000000000e+01,1.011494252873563315e+00,1.142781210550793645e-02,8.300395256916996700e-02
1.000000000000000000e+01,1.392608695652174049e+02,7.203737501609484184e+01,9.869565217391304657e+00,5.200000000000000000e+01,-3.404963532872543053e-01,9.480939218858331685e+00,2.269999999999999929e+01,1.009216589861751112e+00,9.173920464243047121e-03,1.185770750988142525e-01
7.000000000000000000e+00,1.335652173913043441e+02,6.735376488563036901e+01,6.913043478260869179e+00,4.800000000000000000e+01,-2.756672479733662251e-01,6.797704054796020579e+00,2.271428571428571530e+01,1.013157894736842035e+00,1.307075636110142935e-02,8.300395256916996700e-02
1.100000000000000000e+01,1.934347826086956559e+02,9.728861751928758395e+01,1.039130434782608781e+01,5.600000000000000000e+01,-3.557127678175534546e-01,9.858169779006130895e+00,2.172727272727272663e+01,1.017543859649122862e+00,1.731200247314321206e-02,3.399209486166008265e-01
1.100000000000000000e+01,1.559130434782608745e+02,7.881561511382597018e+01,1.086956521739130466e+01,4.300000000000000000e+01,-3.551794778519625218e-01,1.023517525687835317e+01,2.272727272727272663e+01,1.008368200836819994e+00,8.333040329102352900e-03,1.185770750988142525e-01
8.000000000000000000e+00,1.331739130434782510e+02,6.763716848940988768e+01,7.956521739130434590e+00,4.700000000000000000e+01,-3.008240186801474092e-01,7.645614589990739063e+00,2.287500000000000000e+01,1.005714285714285783e+00,5.714285714285712546e-03,4.347826086956521618e-02
8.000000000000000000e+00,1.466521739130434696e+02,7.414764674476569439e+01,7.782608695652173836e+00,5.600000000000000000e+01,-3.018011124149943547e-01,6.984114391121252652e+00,2.237500000000000000e+01,1.029239766081871288e+00,4.031647746818024097e-02,2.687747035573121446e-01
8.000000000000000000e+00,1.569565217391304373e+02,7.895480770718810959e+01,7.956521739130434590e+00,4.800000000000000000e+01,-2.988179734630210249e-01,7.787911139378520531e+00,2.287500000000000000e+01,1.005714285714285783e+00,5.714285714285711679e-03,4.347826086956521618e-02
1.200000000000000000e+01,1.813478260869565304e+02,9.064947911180244944e+01,1.139130434782608781e+01,4.600000000000000000e+01,-3.681858737239619428e-01,1.065913815334683257e+01,2.183333333333333215e+01,1.020000000000000018e+00,2.771084337349397075e-02,3.399209486166008265e-01
8.000000000000000000e+00,9.217391304347826519e+01,4.542491524374246126e+01,7.695652173913043903e+00,4.600000000000000000e+01,-3.033426632079804786e-01,7.464639885146093334e+00,2.212500000000000000e+01,1.005917159763313640e+00,5.917159763313608462e-03,5.849802371541503732e-01
7.000000000000000000e+00,9.782608695652173481e+01,4.579365991638525912e+01,6.826086956521739246e+00,5.200000000000000000e+01,-2.783856651669708859e-01,6.034840537813683348e+00,2.242857142857142705e+01,1.020000000000000018e+00,1.973154362416106727e-02,1.501976284584979893e-01
1.000000000000000000e+01,1.310434782608695627e+02,6.413443144242168614e+01,9.782608695652173836e+00,4.500000000000000000e+01,-3.416037937813833358e-01,9.607805008104207900e+00,2.250000000000000000e+01,1.023255813953488413e+00,2.282112584220821749e-02,2.687747035573122001e-01
