avg_time,num_strains,avg_prev,var_prev,avg_div,max_abundance,avg_npmi,div_all_isolates
2.050000000000000000e+01,1.400000000000000000e+01,1.592173913043478137e+02,8.120846156189028875e+01,1.247826086956521685e+01,4.700000000000000000e+01,-1.45E-01,1.122494633090971128e+01
1.727272727272727337e+01,1.100000000000000000e+01,1.326521739130434696e+02,6.709667970084264255e+01,8.260869565217390686e+00,5.000000000000000000e+01,-3.82E-01,7.508036068716456235e+00
8.000000000000000000e+00,8.000000000000000000e+00,1.243478260869565233e+01,8.021709673564389576e+00,2.782608695652173836e+00,1.400000000000000000e+01,-5.50E-01,3.242759388924251862e+00
1.937500000000000000e+01,1.600000000000000000e+01,1.486086956521739069e+02,7.301042212677880627e+01,1.347826086956521685e+01,3.500000000000000000e+01,7.156810550471891241e-02,1.195168489884467000e+01
6.923076923076923350e+00,1.300000000000000000e+01,1.473913043478260931e+01,1.054090470200536878e+01,3.913043478260869623e+00,1.700000000000000000e+01,-5.82E-01,6.395512391158741039e+00
1.669999999999999929e+01,1.000000000000000000e+01,8.182608695652173481e+01,4.051784362689990360e+01,7.260869565217391575e+00,3.500000000000000000e+01,-4.29E-01,6.695342820181112486e+00
1.775000000000000000e+01,1.600000000000000000e+01,1.512608695652174049e+02,7.580550315313787735e+01,1.234782608695652151e+01,4.600000000000000000e+01,1.309878584824714434e-02,1.132075446984085332e+01
1.392307692307692335e+01,1.300000000000000000e+01,5.043478260869564878e+01,2.438670667496111122e+01,7.869565217391304657e+00,2.000000000000000000e+01,-3.08E-01,8.218451231141647995e+00
1.140000000000000036e+01,1.000000000000000000e+01,2.373913043478260931e+01,1.436288585621208291e+01,4.956521739130434590e+00,1.700000000000000000e+01,-4.86E-01,5.380818053596614803e+00
1.993750000000000000e+01,1.600000000000000000e+01,1.192608695652173907e+02,5.836111516108862673e+01,1.386956521739130466e+01,3.300000000000000000e+01,1.047680667963465095e-01,1.428808671666628705e+01
1.636363636363636331e+01,1.100000000000000000e+01,9.634782608695651618e+01,4.990318690465677776e+01,7.826086956521739246e+00,4.600000000000000000e+01,-3.85E-01,6.668677416024041626e+00
1.730769230769230660e+01,1.300000000000000000e+01,6.252173913043478137e+01,3.340096564365847343e+01,9.782608695652173836e+00,2.300000000000000000e+01,-2.29E-01,1.178083738113155832e+01
1.453333333333333321e+01,1.500000000000000000e+01,5.986956521739130466e+01,3.048741073687195779e+01,9.478260869565216851e+00,2.200000000000000000e+01,-1.71E-01,1.152119082075666689e+01
1.606666666666666643e+01,1.500000000000000000e+01,8.569565217391304657e+01,4.501659772957353312e+01,1.047826086956521685e+01,2.700000000000000000e+01,-1.63E-01,1.056735793598955020e+01
2.112500000000000000e+01,1.600000000000000000e+01,1.559130434782608745e+02,7.738564175224701103e+01,1.469565217391304301e+01,3.500000000000000000e+01,1.330573081407306901e-01,1.490376634036179482e+01
1.342857142857142883e+01,1.400000000000000000e+01,4.169565217391304657e+01,2.138911104151467413e+01,8.173913043478261642e+00,1.900000000000000000e+01,-3.17E-01,9.537434598455277523e+00
1.128571428571428648e+01,1.400000000000000000e+01,2.856521739130434767e+01,1.607885705729031756e+01,6.869565217391304657e+00,2.200000000000000000e+01,-3.96E-01,8.970029970029969490e+00
1.647058823529411598e+01,1.700000000000000000e+01,1.045652173913043441e+02,5.517148974454477894e+01,1.217391304347826164e+01,3.000000000000000000e+01,1.055971809740153949e-01,1.231494419357587056e+01
1.684615384615384670e+01,1.300000000000000000e+01,5.921739130434782794e+01,3.054498399788138840e+01,9.521739130434783149e+00,2.200000000000000000e+01,-2.68E-01,1.072981014123639731e+01
2.013333333333333286e+01,1.500000000000000000e+01,1.906086956521739069e+02,9.560369864014617747e+01,1.313043478260869534e+01,5.300000000000000000e+01,-1.42E-02,1.264868451540875860e+01
1.028571428571428648e+01,7.000000000000000000e+00,2.434782608695652328e+01,1.265848151044182757e+01,3.130434782608695787e+00,2.600000000000000000e+01,-4.97E-01,3.154309667277967133e+00
6.750000000000000000e+00,8.000000000000000000e+00,8.130434782608695343e+00,5.387733102538555308e+00,2.347826086956521952e+00,1.200000000000000000e+01,-5.65E-01,3.887994634473507904e+00
8.800000000000000711e+00,5.000000000000000000e+00,6.086956521739130821e+00,4.581713092464442028e+00,1.913043478260869623e+00,1.400000000000000000e+01,-3.95E-01,2.291028961619967053e+00
7.909090909090909172e+00,1.100000000000000000e+01,1.960869565217391397e+01,1.088676899407876419e+01,3.782608695652173836e+00,2.700000000000000000e+01,-6.22E-01,3.591018472644914805e+00
2.139999999999999858e+01,1.500000000000000000e+01,1.636956521739130324e+02,8.437817187713930878e+01,1.395652173913043548e+01,3.600000000000000000e+01,2.543973115243695557e-02,1.377664879872610726e+01
1.692857142857142705e+01,1.400000000000000000e+01,1.013478260869565162e+02,5.042420837766155728e+01,1.030434782608695699e+01,3.600000000000000000e+01,-1.88E-01,9.325440840644906970e+00
1.805882352941176450e+01,1.700000000000000000e+01,9.186956521739129755e+01,4.502858117384606373e+01,1.334782608695652151e+01,2.500000000000000000e+01,1.416059574636756024e-01,1.365553454385224086e+01
1.119999999999999929e+01,1.500000000000000000e+01,3.230434782608695343e+01,1.709714166065272067e+01,7.304347826086956097e+00,1.500000000000000000e+01,-3.16E-01,8.192742079296202462e+00
8.250000000000000000e+00,1.200000000000000000e+01,1.847826086956521863e+01,1.152416262080121534e+01,4.304347826086956097e+00,1.700000000000000000e+01,-5.77E-01,6.040493429873960984e+00
1.661538461538461675e+01,1.300000000000000000e+01,1.095652173913043441e+02,5.558353752927907010e+01,9.391304347826087806e+00,3.900000000000000000e+01,-2.76E-01,8.734468780701247326e+00
1.725000000000000000e+01,1.600000000000000000e+01,1.433913043478260931e+02,7.106958122498029695e+01,1.200000000000000000e+01,4.100000000000000000e+01,-2.23E-03,1.022284251932970278e+01
1.939999999999999858e+01,1.500000000000000000e+01,1.194347826086956559e+02,5.876519230026357121e+01,1.265217391304347849e+01,3.300000000000000000e+01,-4.19E-02,1.255135176508173167e+01
7.125000000000000000e+00,8.000000000000000000e+00,1.021739130434782616e+01,6.748444411587353642e+00,2.478260869565217295e+00,1.100000000000000000e+01,-5.19E-01,3.170548892988930056e+00
1.608333333333333215e+01,1.200000000000000000e+01,1.098695652173912976e+02,5.510593463158531335e+01,8.391304347826087806e+00,4.000000000000000000e+01,-3.56E-01,7.728858010490475827e+00
1.100000000000000000e+01,9.000000000000000000e+00,2.143478260869565233e+01,1.231712070455562724e+01,4.304347826086956097e+00,1.400000000000000000e+01,-5.30E-01,4.870211228013814342e+00
1.500000000000000000e+00,4.000000000000000000e+00,4.347826086956521618e-01,8.434823356732996658e-01,2.608695652173912971e-01,3.000000000000000000e+00,-3.68E-01,2.812500000000000000e+00
