avg_prev,var_prev,avg_div,max_abundance,avg_npmi
1.846086956521739069e+02,9.138516844574783704e+01,1.191304347826086918e+01,4.800000000000000000e+01,-1.85E-01
4.352173913043478137e+01,2.188787452868366401e+01,4.521739130434782261e+00,3.500000000000000000e+01,-5.36E-01
4.782608695652174058e-01,8.458220969937152445e-01,4.347826086956521618e-01,2.000000000000000000e+00,-5.58E-01
7.004347826086956275e+01,3.533409152242936813e+01,7.565217391304347672e+00,4.100000000000000000e+01,-3.37E-01
1.994347826086956559e+02,1.018322265863881739e+02,1.426086956521739069e+01,4.200000000000000000e+01,1.225055346437927822e-01
1.365217391304347814e+02,6.555349624211676485e+01,1.443478260869565233e+01,3.100000000000000000e+01,1.063482647994584557e-01
1.082173913043478279e+02,5.469332394172496947e+01,1.365217391304347849e+01,3.200000000000000000e+01,2.591971450708646096e-01
1.270434782608695627e+02,6.440671778970488504e+01,1.230434782608695699e+01,3.300000000000000000e+01,-9.78E-02
1.464782608695652186e+02,7.322249379007755010e+01,1.378260869565217384e+01,3.800000000000000000e+01,8.772233269873661032e-02
6.408695652173912549e+01,3.377049955680557503e+01,1.026086956521739069e+01,2.800000000000000000e+01,-1.77E-01
1.619565217391304373e+02,8.087222147025266850e+01,1.013043478260869534e+01,5.700000000000000000e+01,-1.09E-01
7.817391304347826519e+01,4.290438860145687272e+01,9.130434782608695343e+00,3.100000000000000000e+01,-2.98E-01
1.626086956521739069e+02,8.388235220746797438e+01,1.186956521739130466e+01,4.400000000000000000e+01,-1.84E-01
1.721304347826086882e+02,8.626718766706255792e+01,1.213043478260869534e+01,5.000000000000000000e+01,-6.95E-02
7.913043478260870245e+01,3.994462570271054602e+01,1.178260869565217384e+01,2.500000000000000000e+01,-1.19E-01
2.091304347826087096e+01,1.122866884152209721e+01,4.478260869565217739e+00,1.700000000000000000e+01,-5.55E-01
1.222173913043478279e+02,6.362029158984014288e+01,1.108695652173913082e+01,4.500000000000000000e+01,2.900143210357752910e-02
