R0,sigma,Dimmunity,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
1.000000000000000000e+00,2.000000000000000111e-01,1.500000000000000222e-01,3.750000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,1.818181818181818121e+00,3.163636363636363136e+00,8.695652173913043237e-01,7.549407114624506754e-01,6.521739130434782705e-01,3.280632411067194165e-01,2.000000000000000000e+00,-3.650880304807477827e-01,3.015873015873015817e+00
1.000000000000000000e+00,2.000000000000000111e-01,2.000000000000000111e-01,4.500000000000000000e+00,1.700000000000000000e+01,6.000000000000000000e+00,1.666666666666666741e+00,2.833333333333332593e+00,3.130434782608695787e+00,8.391304347826086030e+00,1.173913043478260976e+00,6.956521739130435700e-01,8.000000000000000000e+00,-4.869419773100786553e-01,1.782426778242677923e+00
1.000000000000000000e+00,2.000000000000000111e-01,2.500000000000000000e-01,2.625000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,1.384615384615384581e+00,1.256410256410256387e+00,1.826086956521739024e+00,3.877470355731224672e+00,9.130434782608695121e-01,5.375494071146242892e-01,7.000000000000000000e+00,-6.355538222311822860e-01,2.459999999999999964e+00
1.000000000000000000e+00,2.000000000000000111e-01,2.999999999999999889e-01,2.857142857142857206e+00,1.000000000000000000e+01,7.000000000000000000e+00,1.153846153846153744e+00,1.410256410256410520e-01,1.521739130434782705e+00,2.260869565217391575e+00,8.695652173913043237e-01,5.731225296442689077e-01,4.000000000000000000e+00,-5.551515029970101045e-01,2.468879668049792642e+00
1.000000000000000000e+00,2.000000000000000111e-01,3.499999999999999778e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,nan,nan,1.739130434782608647e-01,1.501976284584979893e-01,1.739130434782608647e-01,1.501976284584979893e-01,1.000000000000000000e+00,-3.684210526315789269e-01,4.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000111e-01,3.999999999999999667e-01,2.857142857142857206e+00,1.000000000000000000e+01,7.000000000000000000e+00,2.076923076923077094e+00,6.576923076923080203e+00,1.608695652173913082e+00,2.612648221343873534e+00,8.695652173913043237e-01,6.640316205533597360e-01,5.000000000000000000e+00,-5.590490999388597615e-01,2.000000000000000000e+00
1.000000000000000000e+00,2.000000000000000111e-01,4.499999999999999556e-01,3.666666666666666519e+00,7.000000000000000000e+00,3.000000000000000000e+00,1.125000000000000000e+00,1.250000000000000000e-01,9.565217391304348116e-01,2.588932806324110825e+00,4.782608695652174058e-01,5.335968379446641707e-01,3.000000000000000000e+00,-2.779894326884679301e-01,2.158878504672897325e+00
1.000000000000000000e+00,2.000000000000000111e-01,4.999999999999999445e-01,3.600000000000000089e+00,2.100000000000000000e+01,1.000000000000000000e+01,1.192307692307692291e+00,2.415384615384615075e-01,4.869565217391304657e+00,1.839130434782608603e+01,1.565217391304347894e+00,8.932806324110669216e-01,1.400000000000000000e+01,-6.708882490211056648e-01,1.542049119325229478e+00
1.000000000000000000e+00,3.000000000000000444e-01,5.000000000000000278e-02,2.000000000000000000e+00,6.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00,2.366666666666666785e+01,7.391304347826086474e-01,1.019762845849802479e+00,6.086956521739130821e-01,6.126482213438735336e-01,2.000000000000000000e+00,-5.682050445045744302e-01,4.250000000000000000e+00
1.000000000000000000e+00,3.000000000000000444e-01,1.000000000000000056e-01,3.666666666666666519e+00,1.800000000000000000e+01,9.000000000000000000e+00,1.458333333333333259e+00,3.389492753623187138e+00,7.043478260869565410e+00,4.258893280632409528e+01,1.434782608695652106e+00,1.256916996047430457e+00,1.900000000000000000e+01,-6.186905856812969784e-01,1.388965811055490551e+00
