R0,Dimmunity,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
2.000000000000000000e+00,1.500000000000000222e-01,1.643750000000000000e+01,2.300000000000000000e+01,1.600000000000000000e+01,1.056680161943319929e+00,6.181495013330698396e-02,7.856521739130434412e+01,1.652256916996047721e+03,1.143478260869565233e+01,2.984189723320157750e+00,2.600000000000000000e+01,-1.205210609819723153e-02,1.102037632375189169e+01
2.000000000000000000e+00,2.000000000000000111e-01,1.542857142857142883e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.074257425742574323e+00,1.188365105167233093e-01,7.082608695652173481e+01,1.321786561264822240e+03,9.391304347826087806e+00,9.762845849802365139e-01,2.800000000000000000e+01,-2.533573927637738366e-01,1.001439468318102932e+01
2.000000000000000000e+00,2.500000000000000000e-01,1.708333333333333215e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.056994818652849721e+00,7.485967184801382845e-02,6.356521739130435122e+01,9.940750988142291362e+02,8.913043478260869179e+00,9.920948616600792080e-01,2.500000000000000000e+01,-3.262790874885883596e-01,9.013114698758576182e+00
2.000000000000000000e+00,2.999999999999999889e-01,1.580000000000000071e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.117117117117117031e+00,2.305654070359952068e-01,6.517391304347826519e+01,1.282059288537549492e+03,1.030434782608695699e+01,1.039525691699604959e+00,3.100000000000000000e+01,-1.641132409715513329e-01,1.117365299257578393e+01
2.000000000000000000e+00,3.499999999999999778e-01,1.625000000000000000e+01,2.300000000000000000e+01,1.600000000000000000e+01,1.184426229508196649e+00,1.039921068609593657e+00,6.213043478260869534e+01,1.076209486166007764e+03,1.130434782608695699e+01,5.403162055335968716e+00,2.500000000000000000e+01,-1.439868759121528188e-03,1.277026671839993988e+01
2.000000000000000000e+00,3.999999999999999667e-01,1.615384615384615330e+01,2.200000000000000000e+01,1.300000000000000000e+01,1.121827411167512611e+00,1.891639904692841156e-01,5.478260869565217206e+01,9.006324110671936296e+02,9.130434782608695343e+00,6.027667984189721828e+00,2.300000000000000000e+01,-2.551097866955731042e-01,1.118243338502749218e+01
2.000000000000000000e+00,4.499999999999999556e-01,1.392857142857142883e+01,2.200000000000000000e+01,1.400000000000000000e+01,1.127071823204419898e+00,2.893186003683241858e-01,5.260869565217391397e+01,7.590671936758892571e+02,8.478260869565216851e+00,3.806324110671937877e+00,2.000000000000000000e+01,-2.802500377028631084e-01,9.287954591629418388e+00
2.000000000000000000e+00,4.999999999999999445e-01,1.473333333333333250e+01,2.200000000000000000e+01,1.500000000000000000e+01,1.092233009708737823e+00,1.329149893440681462e-01,5.343478260869564878e+01,8.312569169960472664e+02,9.608695652173912194e+00,3.612648221343874422e+00,1.800000000000000000e+01,-1.762869140836937631e-01,1.167343718577417455e+01
3.000000000000000000e+00,5.000000000000000278e-02,1.985714285714285765e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.011363636363636465e+00,1.127722087798133620e-02,1.488695652173913118e+02,5.769300395256917909e+03,1.208695652173913082e+01,5.375494071146246222e-01,3.800000000000000000e+01,-1.189970837939166998e-01,1.182490783507775767e+01
3.000000000000000000e+00,1.000000000000000056e-01,1.983333333333333215e+01,2.300000000000000000e+01,1.800000000000000000e+01,1.053097345132743445e+00,7.409540765565271470e-02,1.431739130434782510e+02,5.000604743083003996e+03,1.552173913043478315e+01,3.079051383399209030e+00,3.300000000000000000e+01,3.659305458253789278e-01,1.487938706657772414e+01
