Dimmunity,sigma,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
1.500000000000000222e-01,5.000000000000000000e-01,1.700000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,1.062500000000000000e+00,9.571033210332102747e-02,9.386956521739129755e+01,2.430482213438734561e+03,1.256521739130434767e+01,5.620553359683795769e+00,2.500000000000000000e+01,1.522765878396199757e-01,1.251980974901918664e+01
1.500000000000000222e-01,5.999999999999999778e-01,1.586666666666666714e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.062780269058295923e+00,8.613097402335069541e-02,8.260869565217390686e+01,1.740249011857707728e+03,1.034782608695652151e+01,2.600790513833990847e+00,2.800000000000000000e+01,-2.073322874208943789e-01,1.053367588240446118e+01
1.500000000000000222e-01,6.999999999999999556e-01,1.869230769230769340e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.039130434782608692e+00,4.649705714828175629e-02,8.830434782608695343e+01,2.008403162055336225e+03,1.056521739130434767e+01,1.529644268774703386e+00,3.400000000000000000e+01,-2.235704689442062632e-01,1.077636634517368464e+01
1.500000000000000222e-01,7.999999999999999334e-01,1.673333333333333428e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.101694915254237239e+00,5.002524341868014313e-01,8.113043478260870245e+01,1.790845849802371731e+03,1.091304347826086918e+01,1.264822134387351804e+00,2.700000000000000000e+01,-1.242441613099814629e-01,1.032765722561192767e+01
1.500000000000000222e-01,8.999999999999999112e-01,2.021428571428571530e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.085501858736059422e+00,1.829606613771291579e-01,8.239130434782609314e+01,1.726976284584980249e+03,1.230434782608695699e+01,2.948616600790513687e+00,2.900000000000000000e+01,-1.115697952691988015e-01,1.283665951359084367e+01
1.500000000000000222e-01,9.999999999999998890e-01,1.806250000000000000e+01,2.300000000000000000e+01,1.600000000000000000e+01,1.117216117216117244e+00,3.097392803275157425e-01,7.865217391304348382e+01,1.664055335968379268e+03,1.256521739130434767e+01,2.620553359683793992e+00,2.100000000000000000e+01,6.851883504554910631e-02,1.332238433902778851e+01
2.000000000000000111e-01,1.000000000000000056e-01,1.009999999999999964e+01,2.300000000000000000e+01,1.000000000000000000e+01,1.043956043956044022e+00,6.471306471306470520e-02,1.002608695652173907e+02,2.648110671936758990e+03,4.391304347826086918e+00,8.853754940711460186e-01,8.400000000000000000e+01,-5.219246725866564240e-01,3.510071927243334944e+00
2.000000000000000111e-01,2.000000000000000111e-01,1.486666666666666714e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.076923076923076872e+00,1.389817911557041930e-01,9.356521739130434412e+01,2.105438735177865965e+03,9.695652173913043015e+00,2.584980237154149485e+00,3.300000000000000000e+01,-1.784333738869786912e-01,8.574388079828398901e+00
2.000000000000000111e-01,3.000000000000000444e-01,1.541666666666666607e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.005780346820809301e+00,5.780346820809247402e-03,9.243478260869565588e+01,2.255075098814229477e+03,8.043478260869564522e+00,3.162055335968380065e-01,3.500000000000000000e+01,-3.864568805345895974e-01,6.934871840529032383e+00
2.000000000000000111e-01,4.000000000000000222e-01,1.800000000000000000e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.040723981900452566e+00,3.924310983134510905e-02,9.039130434782609314e+01,2.185976284584980476e+03,1.017391304347826164e+01,1.604743083003951742e+00,3.200000000000000000e+01,-2.457976059520082524e-01,9.359589753366726939e+00
