R0,sigma,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
11,0.7,-0.13,nan,0.72,0.35,0.32,-0.97,-0.92,0.70,0.17,-0.67,0.74,0.86
11,0.8,0.2,nan,nan,-0.15,-0.24,-0.98,-0.97,0.20,-0.07,-0.14,-0.10,0.60
11,0.9,-0.34,nan,nan,-0.14,-0.08,-0.99,-0.97,-0.34,-0.31,-0.45,-0.36,-0.01
11,1,0.32,nan,nan,0.36,0.38,-0.99,-0.99,0.32,0.02,-0.62,0.24,0.70
12,0.1,-0.25,nan,-0.27,-0.06,0.32,-0.02,-0.52,-0.52,-0.25,0.10,-0.31,-0.23
12,0.2,-0.63,nan,0.19,0.39,0.44,-0.74,-0.41,-0.06,-0.23,-0.58,0.16,0.19
12,0.3,0.32,nan,0.47,-0.38,-0.62,-0.74,-0.68,0.62,0.62,-0.08,0.54,0.58
12,0.4,0.51,nan,0.50,-0.67,-0.60,-0.77,-0.72,0.67,-0.26,-0.31,0.62,0.81
12,0.5,0.55,nan,0.26,-0.42,-0.42,-0.96,-0.93,0.77,-0.36,-0.66,0.52,0.78
12,0.6,-0.45,nan,0.35,0.16,-0.05,-0.95,-0.85,0.25,0.73,-0.56,0.39,0.76
12,0.7,0.32,nan,nan,0.55,0.45,-0.98,-0.95,0.32,0.32,-0.42,0.53,0.71
12,0.8,-0.19,nan,0.29,0.05,-0.03,-0.98,-0.98,0.24,0.40,-0.44,0.28,0.81
12,0.9,-0.03,nan,0.52,-0.34,-0.13,-0.99,-0.98,0.53,0.14,-0.62,0.46,0.66
12,1,0.26,nan,0.41,0.03,0.03,-1.00,-0.99,0.57,0.64,-0.55,0.45,0.73
