Dimmunity,sigma,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
5.500000000000000000e+00,5.999999999999999778e-01,8.545454545454544970e+00,1.900000000000000000e+01,1.100000000000000000e+01,1.108433734939759052e+00,2.198060534822216527e-01,3.047826086956521863e+01,4.108972332015810025e+02,4.086956521739130821e+00,3.446640316205533239e+00,3.600000000000000000e+01,-5.804469166594716789e-01,6.396652414224632821e+00
5.500000000000000000e+00,6.999999999999999556e-01,1.011111111111111072e+01,2.100000000000000000e+01,9.000000000000000000e+00,1.182926829268292623e+00,2.500752785305631609e-01,1.943478260869565233e+01,1.231660079051383434e+02,3.956521739130434590e+00,1.407114624505928946e+00,2.700000000000000000e+01,-5.289020741669758774e-01,5.314619321817018793e+00
5.500000000000000000e+00,7.999999999999999334e-01,7.400000000000000355e+00,1.500000000000000000e+01,1.000000000000000000e+01,1.265625000000000000e+00,1.848958333333333259e+00,2.004347826086956630e+01,2.202252964426877213e+02,3.217391304347826164e+00,3.359683794466402862e+00,2.500000000000000000e+01,-5.569758758702882950e-01,6.606230529595015888e+00
5.500000000000000000e+00,8.999999999999999112e-01,5.000000000000000000e+00,1.000000000000000000e+01,1.100000000000000000e+01,1.340909090909090828e+00,1.997357293868922579e+00,1.313043478260869534e+01,1.023913043478260931e+02,2.391304347826086918e+00,1.703557312252964584e+00,3.500000000000000000e+01,-6.642041337836992465e-01,6.210001366306872939e+00
5.500000000000000000e+00,9.999999999999998890e-01,4.846153846153845812e+00,1.000000000000000000e+01,1.300000000000000000e+01,1.060000000000000053e+00,5.755102040816328229e-02,1.286956521739130466e+01,1.303003952569169996e+02,2.739130434782608869e+00,3.292490118577074742e+00,1.800000000000000000e+01,-6.823034606630210552e-01,6.879924361802710386e+00
6.500000000000000000e+00,1.000000000000000056e-01,1.325000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.054421768707483054e+00,6.551113596123379901e-02,9.926086956521739069e+01,2.585110671936759445e+03,6.913043478260869179e+00,1.355731225296443077e+00,6.100000000000000000e+01,-4.423700362691713184e-01,4.804994798238041653e+00
6.500000000000000000e+00,2.000000000000000111e-01,1.600000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.066666666666666652e+00,8.491620111731841558e-02,8.565217391304348382e+01,1.901055335968379268e+03,8.347826086956521507e+00,1.782608695652174058e+00,3.800000000000000000e+01,-3.464144421923919248e-01,7.664718342699515574e+00
6.500000000000000000e+00,3.000000000000000444e-01,1.423076923076922995e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.180232558139534982e+00,1.786039711682306574e+00,6.973913043478260931e+01,1.230837944664031738e+03,8.043478260869564522e+00,1.407114624505929390e+00,3.700000000000000000e+01,-3.683661661807450804e-01,7.810011542433630716e+00
6.500000000000000000e+00,4.000000000000000222e-01,1.384615384615384670e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.035928143712574911e+00,7.099054902243709386e-02,6.182608695652174191e+01,1.013150197628458386e+03,7.826086956521739246e+00,1.786561264822133621e+00,3.600000000000000000e+01,-3.749438978385569721e-01,7.841627730088014836e+00
6.500000000000000000e+00,5.000000000000000000e-01,1.425000000000000000e+01,2.300000000000000000e+01,8.000000000000000000e+00,1.075471698113207530e+00,1.847259658580412689e-01,3.330434782608695343e+01,3.339486166007905013e+02,4.956521739130434590e+00,1.407114624505928946e+00,2.600000000000000000e+01,-4.728387807749663274e-01,5.455129398622230674e+00
6.500000000000000000e+00,5.999999999999999778e-01,9.250000000000000000e+00,1.600000000000000000e+01,8.000000000000000000e+00,1.196969696969697017e+00,2.836829836829837248e-01,2.326086956521739069e+01,2.457470355731225879e+02,3.217391304347826164e+00,1.905138339920949164e+00,3.500000000000000000e+01,-5.227467728444888939e-01,4.923652281814421272e+00
