avg_time,num_strains,avg_div,avg_npmi,div_all_isolates
8.000000000000000000e+00,8.000000000000000000e+00,2.782608695652173836e+00,-5.50E-01,3.242759388924251862e+00
1.937500000000000000e+01,1.600000000000000000e+01,1.347826086956521685e+01,7.156810550471891241e-02,1.195168489884467000e+01
6.923076923076923350e+00,1.300000000000000000e+01,3.913043478260869623e+00,-5.82E-01,6.395512391158741039e+00
1.669999999999999929e+01,1.000000000000000000e+01,7.260869565217391575e+00,-4.29E-01,6.695342820181112486e+00
1.775000000000000000e+01,1.600000000000000000e+01,1.234782608695652151e+01,1.309878584824714434e-02,1.132075446984085332e+01
1.392307692307692335e+01,1.300000000000000000e+01,7.869565217391304657e+00,-3.08E-01,8.218451231141647995e+00
1.140000000000000036e+01,1.000000000000000000e+01,4.956521739130434590e+00,-4.86E-01,5.380818053596614803e+00
1.993750000000000000e+01,1.600000000000000000e+01,1.386956521739130466e+01,1.047680667963465095e-01,1.428808671666628705e+01
1.636363636363636331e+01,1.100000000000000000e+01,7.826086956521739246e+00,-3.85E-01,6.668677416024041626e+00
1.730769230769230660e+01,1.300000000000000000e+01,9.782608695652173836e+00,-2.29E-01,1.178083738113155832e+01
1.453333333333333321e+01,1.500000000000000000e+01,9.478260869565216851e+00,-1.71E-01,1.152119082075666689e+01
1.606666666666666643e+01,1.500000000000000000e+01,1.047826086956521685e+01,-1.63E-01,1.056735793598955020e+01
1.342857142857142883e+01,1.400000000000000000e+01,8.173913043478261642e+00,-3.17E-01,9.537434598455277523e+00
1.128571428571428648e+01,1.400000000000000000e+01,6.869565217391304657e+00,-3.96E-01,8.970029970029969490e+00
1.647058823529411598e+01,1.700000000000000000e+01,1.217391304347826164e+01,1.055971809740153949e-01,1.231494419357587056e+01
1.684615384615384670e+01,1.300000000000000000e+01,9.521739130434783149e+00,-2.68E-01,1.072981014123639731e+01
2.013333333333333286e+01,1.500000000000000000e+01,1.313043478260869534e+01,-1.42E-02,1.264868451540875860e+01
1.028571428571428648e+01,7.000000000000000000e+00,3.130434782608695787e+00,-4.97E-01,3.154309667277967133e+00
2.018750000000000000e+01,1.600000000000000000e+01,1.404347826086956452e+01,1.064976076467934740e-01,1.362150589202521189e+01
6.750000000000000000e+00,8.000000000000000000e+00,2.347826086956521952e+00,-5.65E-01,3.887994634473507904e+00
1.931250000000000000e+01,1.600000000000000000e+01,1.343478260869565233e+01,7.746120790611314699e-02,1.266944939933070557e+01
8.800000000000000711e+00,5.000000000000000000e+00,1.913043478260869623e+00,-3.95E-01,2.291028961619967053e+00
7.909090909090909172e+00,1.100000000000000000e+01,3.782608695652173836e+00,-6.22E-01,3.591018472644914805e+00
2.139999999999999858e+01,1.500000000000000000e+01,1.395652173913043548e+01,2.543973115243695557e-02,1.377664879872610726e+01
1.692857142857142705e+01,1.400000000000000000e+01,1.030434782608695699e+01,-1.88E-01,9.325440840644906970e+00
1.119999999999999929e+01,1.500000000000000000e+01,7.304347826086956097e+00,-3.16E-01,8.192742079296202462e+00
8.250000000000000000e+00,1.200000000000000000e+01,4.304347826086956097e+00,-5.77E-01,6.040493429873960984e+00
