R0,Dimmunity,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
2.000000000000000000e+00,1.650000000000000000e+01,6.181818181818181657e+00,1.300000000000000000e+01,1.100000000000000000e+01,1.280701754385964897e+00,1.526942355889723713e+00,1.734782608695652328e+01,2.191462450592884750e+02,2.956521739130434590e+00,1.316205533596837896e+00,2.700000000000000000e+01,-6.206668758214204384e-01,5.773358539954918989e+00
2.000000000000000000e+00,1.750000000000000000e+01,4.166666666666666963e+00,1.100000000000000000e+01,1.200000000000000000e+01,1.447368421052631637e+00,2.740398293029871812e+00,1.013043478260869534e+01,9.130039525691701385e+01,2.173913043478260754e+00,9.683794466403162771e-01,2.300000000000000000e+01,-7.135869565531157699e-01,4.519732441471571605e+00
2.000000000000000000e+00,1.850000000000000000e+01,4.923076923076923350e+00,1.600000000000000000e+01,1.300000000000000000e+01,1.078431372549019551e+00,7.372549019607842202e-02,1.160869565217391219e+01,6.015810276679842872e+01,2.782608695652173836e+00,2.359683794466402862e+00,2.100000000000000000e+01,-6.371025769731154531e-01,5.227587222140438250e+00
2.000000000000000000e+00,1.950000000000000000e+01,7.599999999999999645e+00,1.700000000000000000e+01,5.000000000000000000e+00,1.606060606060605966e+00,1.212121212121212110e+01,1.069565217391304301e+01,9.213043478260870245e+01,1.652173913043478271e+00,9.644268774703559366e-01,2.800000000000000000e+01,-4.100088338522720477e-01,3.056908094948265209e+00
3.000000000000000000e+00,5.000000000000000000e-01,1.800000000000000000e+01,2.300000000000000000e+01,1.800000000000000000e+01,1.065359477124182996e+00,8.751741133611914969e-02,1.051739130434782652e+02,3.190332015810276971e+03,1.408695652173913082e+01,6.901185770750987380e+00,4.000000000000000000e+01,3.179945698797805309e-01,1.613814624132964681e+01
3.000000000000000000e+00,1.500000000000000000e+00,1.370588235294117574e+01,2.200000000000000000e+01,1.700000000000000000e+01,1.101851851851851860e+00,4.267872523686478403e-01,6.552173913043478137e+01,1.343715415019762986e+03,1.013043478260869534e+01,7.209486166007905261e+00,4.600000000000000000e+01,-3.033172321315257686e-02,1.406543295570043917e+01
3.000000000000000000e+00,2.500000000000000000e+00,9.357142857142857650e+00,1.700000000000000000e+01,1.400000000000000000e+01,1.290598290598290676e+00,5.182729148246389972e-01,4.969565217391304657e+01,1.007312252964426875e+03,5.695652173913043903e+00,4.494071146245058657e+00,6.600000000000000000e+01,-4.424346980605698421e-01,1.074591257100518682e+01
3.000000000000000000e+00,3.500000000000000000e+00,9.818181818181818343e+00,1.900000000000000000e+01,1.100000000000000000e+01,1.360824742268041287e+00,3.483032646048110692e+00,3.426086956521739069e+01,5.709288537549407465e+02,4.695652173913043903e+00,1.766798418972331808e+00,7.000000000000000000e+01,-5.474905151488200783e-01,7.915201021059348641e+00
3.000000000000000000e+00,4.500000000000000000e+00,7.777777777777777679e+00,1.300000000000000000e+01,9.000000000000000000e+00,1.311475409836065475e+00,1.018032786885246121e+00,1.986956521739130466e+01,2.373003952569169996e+02,3.043478260869565410e+00,1.316205533596837896e+00,6.200000000000000000e+01,-5.609136132034406863e-01,5.429702970297030085e+00
3.000000000000000000e+00,5.500000000000000000e+00,7.666666666666666963e+00,1.400000000000000000e+01,1.500000000000000000e+01,1.020000000000000018e+00,1.979797979797979016e-02,4.504347826086956275e+01,9.215889328063241237e+02,5.000000000000000000e+00,2.090909090909090828e+00,6.800000000000000000e+01,-5.668081253011493237e-01,1.031495305525627160e+01
3.000000000000000000e+00,6.500000000000000000e+00,7.636363636363636687e+00,1.500000000000000000e+01,1.100000000000000000e+01,1.383561643835616417e+00,2.100837138508371282e+00,2.869565217391304301e+01,5.979486166007905013e+02,3.652173913043478048e+00,1.237154150197628644e+00,5.300000000000000000e+01,-5.904270758342211600e-01,7.383126803598710097e+00
3.000000000000000000e+00,7.500000000000000000e+00,7.846153846153845812e+00,1.600000000000000000e+01,1.300000000000000000e+01,1.213483146067415808e+00,6.925434116445353672e-01,3.004347826086956630e+01,4.459525691699605545e+02,4.434782608695652328e+00,1.529644268774703164e+00,7.300000000000000000e+01,-6.088239917636203424e-01,6.182763628818921831e+00
3.000000000000000000e+00,8.500000000000000000e+00,8.000000000000000000e+00,1.900000000000000000e+01,1.100000000000000000e+01,1.194805194805194759e+00,2.378673957621326163e-01,2.695652173913043370e+01,3.278616600790513758e+02,3.826086956521739246e+00,1.059288537549406994e+00,4.700000000000000000e+01,-6.030849128167072859e-01,6.830284046415604493e+00
