R0,sigma,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
3.000000000000000000e+00,8.999999999999999112e-01,1.972222222222222143e+01,2.300000000000000000e+01,1.800000000000000000e+01,1.106824925816023653e+00,5.361735198530447333e-01,1.031304347826087024e+02,2.864754940711462496e+03,1.543478260869565233e+01,4.075098814229249911e+00,2.400000000000000000e+01,3.604489394746648867e-01,1.673414663175434569e+01
3.000000000000000000e+00,9.999999999999998890e-01,1.773684210526315752e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.081761006289308158e+00,1.384044600519810375e-01,9.017391304347826519e+01,2.010332015810276289e+03,1.465217391304347849e+01,6.146245059288535373e+00,2.800000000000000000e+01,3.941477304291363670e-01,1.718894477183499347e+01
4.000000000000000000e+00,1.000000000000000056e-01,1.786666666666666714e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.051383399209486091e+00,2.790953008344311259e-01,1.940434782608695627e+02,9.112225296442686158e+03,1.165217391304347849e+01,6.916996047430828964e-01,6.200000000000000000e+01,-9.648537765064563176e-02,9.568454606083786729e+00
4.000000000000000000e+00,2.000000000000000111e-01,2.106250000000000000e+01,2.300000000000000000e+01,1.600000000000000000e+01,1.028037383177569986e+00,5.233644859813084416e-02,1.870000000000000000e+02,8.845363636363636033e+03,1.465217391304347849e+01,2.055335968379446321e+00,4.000000000000000000e+01,1.234612246911008238e-01,1.351029728892603110e+01
4.000000000000000000e+00,3.000000000000000444e-01,2.137500000000000000e+01,2.300000000000000000e+01,1.600000000000000000e+01,1.015337423312883347e+00,2.130250117980179644e-02,1.766086956521739069e+02,7.927794466403162005e+03,1.486956521739130466e+01,8.458498023715413927e-01,4.600000000000000000e+01,1.370519543161870524e-01,1.445124829387863841e+01
4.000000000000000000e+00,4.000000000000000222e-01,2.100000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,1.035294117647058920e+00,1.993406212042338754e-01,1.760434782608695627e+02,8.125952569169961862e+03,1.552173913043478315e+01,2.624505928853754888e+00,4.400000000000000000e+01,2.515175878382520658e-01,1.559604540740106415e+01
4.000000000000000000e+00,5.000000000000000000e-01,2.100000000000000000e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.047368421052631504e+00,6.635189557005972960e-02,1.703043478260869676e+02,7.092403162055335088e+03,1.734782608695652328e+01,3.873517786561265108e+00,4.800000000000000000e+01,5.447203890945228055e-01,1.746347339203457238e+01
4.000000000000000000e+00,5.999999999999999778e-01,2.164705882352941302e+01,2.300000000000000000e+01,1.700000000000000000e+01,1.034188034188034289e+00,5.025641025641024856e-02,1.606086956521739069e+02,5.881703557312252997e+03,1.600000000000000000e+01,9.090909090909090606e-01,4.300000000000000000e+01,2.749332610391979070e-01,1.622603551140418432e+01
4.000000000000000000e+00,6.999999999999999556e-01,2.144444444444444287e+01,2.300000000000000000e+01,1.800000000000000000e+01,1.035326086956521729e+00,3.962060182442837808e-02,1.542173913043478137e+02,5.654632411067193061e+03,1.678260869565217561e+01,1.268774703557312478e+00,3.900000000000000000e+01,4.070834627496752733e-01,1.734079760437433393e+01
4.000000000000000000e+00,7.999999999999999334e-01,1.994999999999999929e+01,2.300000000000000000e+01,2.000000000000000000e+01,1.044854881266490843e+00,5.882927782663930488e-02,1.443913043478260931e+02,5.305885375494071013e+03,1.734782608695652328e+01,4.873517786561264664e+00,2.900000000000000000e+01,7.305818338987604132e-01,1.839606775317342624e+01
